Name,Organization,id,Description,Translation Required,Spanish_Description,locations,address_1 (from address) (from locations) 2,city (from address) (from locations) 3,Zip Code (from address) (from locations) 3,latitude (from locations) 2,longitude (from locations) 2,url,email,active,application_process,service_options,payment_options,taxonomy,phones,schedule,weekday (from schedule) 3,opens_at (from schedule) 3,closes_at (from schedule) 3,add_day (from schedule) 4,add_hours (from schedule) 4,med_area,legal_area,cash_area,dv_area,foodstamp_area,freefood_area,details,service_area,Last updated,Updated By,owner,status,Auto-Last updated,Auto-Last updated by,Questions/Confusions/Observations
Auntie April’s,Auntie April’s,6626,Instagram: @auntieaprils.,,,4618 3rd St San Francisco,4618 3rd St San Francisco,,94124,37.736177,-122.390475,,,Closed,,,,Black-owned Restaurant,,Auntie April’s,,,,,,,,,,,,,,,,,,9/11/2020 11:25pm,Micah Trautwein,
Nia Soul Foods,Nia Soul Foods,6627,Instagram: @niasoulfood.,,,4618 3rd St,4618 3rd St,,94124,37.7361628,-122.3905317,https://niasoulfoods.com/,,Open,,,,Black-owned Restaurant,,Nia Soul Foods,"Monday, Tuesday, Wednesday, Thursday, Friday",4:00 AM, 9:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Excelsior Coffee,Excelsior Coffee,6628,Instagram: @excelsiorcoffeesf.,,,4495 Mission St San Francisco,4495 Mission St San Francisco,,94112,37.7264059,-122.4333278,https://www.xlcrsf.com,,Open,,,,Black-owned Restaurant,,Excelsior Coffee,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",8:00 AM, 2:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Home of Chicken and Waffles,Home of Chicken and Waffles,6629,Instagram: @the_homeofchickenandwaffles.,,,444 Embarcadero West,444 Embarcadero West,,94607,37.7954199,-122.2763684,https://www.homeofchickenandwaffles.com,,Open,,,,Black-owned Restaurant,,Home of Chicken and Waffles,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM, 12:00 am,Friday,11:00 am - 4:00 am; Sun: 10:00 am - 12:00 am,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Omar's Chicken and Waffles,Omar's Chicken and Waffles,6630,,,,4399 Century Blvd,4399 Century Blvd,,94565,38.0063849,-121.8388848,https://www.omarschickenandwaffles.com/,,Open,,,,Black-owned Restaurant,,Omar's Chicken and Waffles,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",8:00 AM, 9:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
CJ's BBQ and Fish,CJ's BBQ and Fish,6631,,,,4380 Sonoma Blvd,4380 Sonoma Blvd,Vallejo,94589,38.1371447,-122.2545324,,,Open,,,,Black-owned Restaurant,,"CJ's BBQ and Fish,CJ's BBQ and Fish","Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM, 9:00 pm,"Tuesday, Friday","11:00 am - 8:00 pm; Fri: 11:00 am - 9:00 pm; Sun: 11:00 am - 7:00 pm, 11:00 am - 10:00 pm; Sun: 11:00 am - 7:00 pm",,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
BABS Catering,BABS Catering,6632,Instagram: @babscateringoakland.,,,434 25th St,434 25th St,,94612,37.814516,-122.2659879,https://www.babscateringoakland.com,,Open,,,,Black-owned Restaurant,,BABS Catering,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",9:00 AM, 5:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Touch of Soul,Touch of Soul,6633,,,,4336 San Pablo Ave #3304,4336 San Pablo Ave #3304,,94608,37.834306,-122.2806322,https://touch-of-soul.business.site/,,Open,,,,Black-owned Restaurant,,Touch of Soul,"Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM,,Wednesday,11:30 am - 9:30 pm; Sun: 11:30 am - 8:30 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Smokin Woods BBQ,Smokin Woods BBQ,6634,Instagram: @smokinwoodsbbq. Other info: also popping up at Tastebuds in SF!,,,4307 Telegraph Ave,4307 Telegraph Ave,,94609,37.8318174,-122.2640816,https://www.smokinwoodsbbq.com,,Open,,,,Black-owned Restaurant,,Smokin Woods BBQ,"Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM,,Wednesday,12:00 - 7:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Messob Ethiopian Restaurant,Messob Ethiopian Restaurant,6635,Instagram: @mesobethiopiann.,,,4301 Piedmont Ave B,4301 Piedmont Ave B,,94611,37.8293497,-122.2488587,http://ordermessobethiopianrestaurant.com/,,Open,,,,Black-owned Restaurant,,Messob Ethiopian Restaurant,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Everett & Jones Barbeque,Everett & Jones Barbeque,6636,Instagram: @everettandjones.,,,4245 MacArthur Blvd Oakland,4245 MacArthur Blvd Oakland,,94619,37.787801,-122.195393,https://eandjbbq.com/,,Open,,,,Black-owned Restaurant,,"Everett & Jones Barbeque,Everett & Jones Barbeque,Everett & Jones Barbeque","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","12:00 AM, 11:00 AM, 12:00 PM"," 9:00 pm,  7:00 pm",Friday,12:00 pm - 12:00 am; Sun: 12:00 - 9:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Solid Rock Cafe,Solid Rock Cafe,6637,,,,422 W 2nd St,422 W 2nd St,,94509,38.0170314,-121.8123894,https://www.solidrockcafe.us/,,Open,,,,Black-owned Restaurant,,Solid Rock Cafe,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,12:00 - 6:00 pm; Fri: 12:00 - 8:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Kefa Coffee,Kefa Coffee,6638,Instagram: @kefaoakland.,,,422 29th Ave,422 29th Ave,,94601,37.7731542,-122.2348126,https://www.orderkefacoffee.com,,Open,,,,Black-owned Restaurant,,Kefa Coffee,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",7:00 AM, 12:30 pm,Sat,8:00 am - 12:30 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Trap Kitchen,Trap Kitchen,6639,Instagram: @trapkitchenoakland.,,,420 14th St 2nd Floor,420 14th St 2nd Floor,,94612,37.8042354,-122.2703069,https://complexoakland.com/,,Open,,,,Black-owned Restaurant,,Trap Kitchen,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",12:00 PM, 8:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Carmen & Family BBQ,Carmen & Family BBQ,6640,Instagram: @carmen_and_family_bbq.,,,41986  Blvd Fremont,41986  Blvd Fremont,,94538,37.5243817,-121.9574048,http://carmenandfamilybbq.com/,,Open,,,,Black-owned Restaurant,,,,,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Haleluya Ethiopian Gourmet,Haleluya Ethiopian Gourmet,6641,,,,4144 Walnut Ave,4144 Walnut Ave,,94538,37.5440237,-121.9833522,https://www.facebook.com/pages/category/Ethiopian-Restaurant/Haleluya-Ethiopian-Gourmet-114027840290429/,,Open,,,,Black-owned Restaurant,,Haleluya Ethiopian Gourmet,"Monday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM, 9:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Big H BBQ,Big H BBQ,6642,Instagram: @bigh_bbq_pop_up.,,,4101 3rd St San Francisco,4101 3rd St San Francisco,,94124,37.7398948,-122.3886568,https://www.facebook.com/harold.agee.52,,Open,,,,Black-owned Restaurant,,Big H BBQ,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Suya African Grill,Suya African Grill,6643,Instagram: @suyaafricangrill.,,,408 22nd St Oakland,408 22nd St Oakland,,94612,37.8109537,-122.2663867,https://www.suyaafricangrill.com/,,Open,,,,Black-owned Restaurant,,"Suya African Grill,Suya African Grill","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","11:00 AM, 11:00 AM"," 7:00 pm,  7:00 pm",,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Cafe Eritrea D'Afrique,Cafe Eritrea D'Afrique,6644,Instagram: @cafe_eritrea_d_afrique.,,,4069 Telegraph Ave,4069 Telegraph Ave,,94609,37.8297846,-122.2644582,http://cafeeritreadafrique.com/,,Closed,,,,Black-owned Restaurant,,Cafe Eritrea D'Afrique,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
The Hatch,The Hatch,6645,Instagram: @thehatchoak.,,,402 15th St,402 15th St,,94612,37.8050167,-122.2695056,https://www.thehatchoak.com/,,Open,,,,Black-owned Restaurant,,The Hatch,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",5:00 AM, 10:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Teni East Kitchen,Teni East Kitchen,6646,Instagram: @tenieastkitchen.,,,4015 Broadway,4015 Broadway,,94611,37.8279085,-122.2566491,https://www.tenieastkitchen.com,,Open,,,,Black-owned Restaurant,,Teni East Kitchen,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:30 AM," 2:30 pm, 4:30 - 8:30 pm",Thursday,"11:30 am - 2:30 pm, 4:30 - 9:00 pm",,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Two Jacks Seafood,Two Jacks Seafood,6647,,,,401 Haight St San Francisco,401 Haight St San Francisco,,94117,37.7721885,-122.4289761,https://www.twojacksniksplace.com/,,Open,,,,Black-owned Restaurant,,Two Jacks Seafood,"Tuesday, Wednesday, Thursday, Friday, Saturday",,,Tuesday,11:00 am - 8:00 pm; Sat: 12:00 - 8:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Tribune Tavern,Tribune Tavern,6648,,,,401 13th St,401 13th St,,94612,37.8031319,-122.2706975,,,Closed,,,,Black-owned Restaurant,,Tribune Tavern,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Southern Cafe,Southern Cafe,6649,Instagram: @southerncafe400.,,,400 G St,400 G St,,94509,38.0153689,-121.8139607,http://southerncafe2000.com/,,Open,,,,Black-owned Restaurant,,"Southern Cafe,Southern Cafe","Thursday, Friday, Saturday, Sunday, Wednesday, Thursday, Friday, Saturday, Sunday","12:00 AM, 12:00 AM",,"Thursday, Wednesday","4:00 - 9:00 pm; Fri: 12:00 - 9:00 pm; Sun: 12:00 - 8:00 pm, 11:00 am - 9:00 pm; Sun: 1:00 - 8:00 pm",,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Pack Jack's BBQ,Pack Jack's BBQ,6650,,,,3963 Gravenstein Hwy S,3963 Gravenstein Hwy S,,95472,38.3616667,-122.7766667,https://www.facebook.com/PackJackBBQ,,Open,,,,Black-owned Restaurant,,Pack Jack's BBQ,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,11:00 am - 9:00 pm; Fri: 11:00 am - 10:00 pm; Sun: 12:00 - 8:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Hip Hop Juice Box,Hip Hop Juice Box,6651,Instagram: @hiphopjuicebox.,,,3960 Adeline St,3960 Adeline St,,94608,37.8306732,-122.2782145,,,Open,,,,Black-owned Restaurant,,Hip Hop Juice Box,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM, 1:00 pm,Friday,7:00 am - 9:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Cafe Dejena,Cafe Dejena,6652,Instagram: @cafe_dejena.,,,3939 Martin Luther King Jr Way,3939 Martin Luther King Jr Way,,94609,37.8296656,-122.2686169,https://www.cafedejena.com/,,Closed,,,,Black-owned Restaurant,,Cafe Dejena,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Pure Juice & Smoothie Lounge,Pure Juice & Smoothie Lounge,6653,Instagram: @purejuicelounge.,,,3902 Smith St,3902 Smith St,,94586,37.5963908,-122.0791317,https://www.purejuiceandsmoothie.com/,,Open,,,,Black-owned Restaurant,,"Pure Juice & Smoothie Lounge,Pure Juice & Smoothie Lounge","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","11:00 AM, 11:00 AM"," 3:00 pm,  3:00 pm",,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
MLK Cafe,MLK Cafe,6654,,,,3860 Martin Luther King Jr Way,3860 Martin Luther King Jr Way,,94609,37.828492,-122.2685733,,,Open,,,,Black-owned Restaurant,,MLK Cafe,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",8:00 AM, 12:00 am,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Bella Trattoria,Bella Trattoria,6655,Instagram: @bellatrattoria. Other info: Fundraiser,,,3854 Geary Blvd San Francisco,3854 Geary Blvd San Francisco,,94118,37.7813576,-122.4609231,https://www.bellatrattoriasf.com/,,Open,,,,Black-owned Restaurant,,Bella Trattoria,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 PM, 8:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Osteria Bella,Osteria Bella,6656,Instagram: @osteriabella. Other info: Fundraiser,,,3854 Geary Blvd San Francisco,3854 Geary Blvd San Francisco,,94118,37.7813576,-122.4609231,https://osteriabella.com/,,Open,,,,Black-owned Restaurant,,Osteria Bella,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 PM, 8:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Drexl,Drexl,6657,Instagram: @drexlbar. Other info: Fundraiser,,,382 19th St,382 19th St,,94612,37.8072368,-122.2673205,https://www.drexl.bar/,,Open,,,,Black-owned Restaurant,,Drexl,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,4:00 pm - 1:00 am; Thurs: 4:00 pm - 2:00 am; Sat: 5:00 pm - 2:00 am,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
The Lumpia Company,The Lumpia Company,6658,Instagram: @thelumpiacompany.,,,372 24th St,372 24th St,Oakland,94612,NA,NA,https://www.thelumpiacompany.com,,Open,,,,Black-owned Restaurant,,The Lumpia Company,"Tuesday, Wednesday, Thursday, Friday, Saturday",,,Tuesday,11:00 am - 3:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Grandeur,Grandeur,6659,Instagram: @grandeurongrand.,,,366B Grand Ave,366B Grand Ave,,94610,37.8090531,-122.2552831,https://www.grandeuroakland.com/,,Open,,,,Black-owned Restaurant,,Grandeur,"Monday, Wednesday, Thursday, Friday, Saturday, Sunday",11:30 AM, 10:00 pm,Friday,11:30 am - 11:00 pm; Sun: 11:30 am - 9:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Rob Ben's,Rob Ben's,6660,Instagram: @robbens_restaurant.,,,3627 San Pablo Ave,3627 San Pablo Ave,,94608,37.8276481,-122.2789917,https://www.instagram.com/robbens_restaurant/,,Open,,,,Black-owned Restaurant,,Rob Ben's,"Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM,,Wednesday,2:00 - 7:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Little Skillet,Little Skillet,6661,Instagram: @littleskilletsf.,,,360 Ritch St San Francisco,360 Ritch St San Francisco,,94107,37.778844,-122.39395,https://www.littleskilletsf.com/,,Open,,,,Black-owned Restaurant,,Little Skillet,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM, 8:00 pm,Sun,11:00 am - 3:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Enssaro Ethiopian,Enssaro Ethiopian,6662,Instagram: @enssarooakland.,,,357-A Grand Ave,357-A Grand Ave,,94610,37.8087788,-122.2557932,https://www.enssaro.com/,,Open,,,,Black-owned Restaurant,,Enssaro Ethiopian,"Monday, Wednesday, Thursday, Friday, Saturday, Sunday",11:30 AM, 10:00 pm,Friday,11:30 am - 11:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Splash Tea,Splash Tea,6663,Instagram: @splashtea.,,,3540 Clayton Rd,3540 Clayton Rd,,94519,37.970283,-122.0114187,https://splashtea.square.site/s/order,,Open,,,,Black-owned Restaurant,,Splash Tea,"Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM,,Wednesday,3:00 - 8:00 pm; Sat: 12:00 - 8:00 pm; Sun: 12:00 - 7:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Concord Tap House,Concord Tap House,6664,Instagram: @concordtaphouse.,,,3513 Clayton Rd,3513 Clayton Rd,,94519,37.9714056,-122.0118861,https://concordtaphouse.com/,,Open,,,,Black-owned Restaurant,,Concord Tap House,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,3:00 - 6:30 pm; Sat: 2:00 - 6:00 pm; Sun: 12:00 - 3:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Cooking N' Style,Cooking N' Style,6665,Instagram: @cookingnstyle.,,,350 Rhode Island St #240,350 Rhode Island St #240,,94103,37.7656301,-122.4029238,,,Open,,,,Black-owned Restaurant,,Cooking N' Style,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Open 24 hours,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Rush Bowls,Rush Bowls,6666,Instagram: @rushbowlsoakland.,,,350 17th St,350 17th St,,94612,37.8058941,-122.2674328,https://www.rushbowls.com/oakland,,Open,,,,Black-owned Restaurant,,Rush Bowls,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:00 AM, 5:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Mela Bistro,Mela Bistro,6667,Instagram: @melabistrooakland.,,,35 Grand Ave,35 Grand Ave,,94612,37.8112634,-122.2659978,https://www.melabistro.com/,,Open,,,,Black-owned Restaurant,,Mela Bistro,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Robert Dorsey Catering,Robert Dorsey Catering,6668,Instagram: @robertdorseycatering.,,,344 20th St,344 20th St,,94612,37.8092448,-122.2651058,https://chefrobertdorsey.com/,,Open,,,,Black-owned Restaurant,,Robert Dorsey Catering,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",9:00 AM, 5:00 pm,Sat,10:00 am - 4:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Sunset Cantina,Sunset Cantina,6669,Instagram: @sunsetcantinasf.,,,3414 Judah St San Francisco,3414 Judah St San Francisco,,94122,37.7609729,-122.4988148,https://sunsetcantinasf.com/,,Open,,,,Black-owned Restaurant,,Sunset Cantina,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,5:00 - 8:00 pm; Fri: 4:00 - 8:00 pm; Sat: 11:00 am - 8:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Level 13,Level 13,6670,Instagram: @level13oakland.,,,341 13th St,341 13th St,,94612,37.8024652,-122.2689768,https://www.level13oakland.com,,Closed,,,,Black-owned Restaurant,,Level 13,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Big Country Kitchen,Big Country Kitchen,6671,Instagram: @bigcountrykitchenllc.,,,3399 Clayton Rd,3399 Clayton Rd,,94519,37.97203,-122.015172,https://www.bigcountrykitchenllc.com,,Open,,,,Black-owned Restaurant,,Big Country Kitchen,"Thursday, Friday, Saturday, Sunday",12:00 AM,,Thursday,"11:00 am - 4:00 pm, 6:00 - 10:00 pm; Sat: 11:00 am - 8:00 pm",,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Little Baobab,Little Baobab,6672,Instagram: @bissapbaobab.,,,3386 19th St San Francisco,3386 19th St San Francisco,,94110,37.7604229,-122.4187259,https://www.bissapbaobab.com/,,Open,,,,Black-owned Restaurant,,Little Baobab,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,5:30 - 10:00 pm; Fri: 5:30 pm - 2:00 am,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Pure Juice & Smoothie Lounge,Pure Juice & Smoothie Lounge,6673,Instagram: @purejuicelounge.,,,3375 Port Chicago Hwy #30,3375 Port Chicago Hwy #30,,94520,37.9943855,-122.0325641,https://www.purejuiceandsmoothie.com/,,Open,,,,Black-owned Restaurant,,,,,,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Taqueria Los Mayas,Taqueria Los Mayas,6674,Instagram: @yucataninsf.,,,331 Clement St San Francisco,331 Clement St San Francisco,,94118,37.7828806,-122.4628405,https://www.taquerialosmayassf.com,,Open,,,,Black-owned Restaurant,,Taqueria Los Mayas,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM, 7:30 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Local Kitchen,Local Kitchen,6675,Instagram: @localkitchensf.,,,330 1st St #1 San Francisco,330 1st St #1 San Francisco,,94105,37.786797,-122.394217,https://www.sf-local.com,,Open,,,,Black-owned Restaurant,,Local Kitchen,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",5:00 AM, 10:00 pm,Sun,5:00 - 9:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Queen’s Louisiana Po-Boy Cafe,Queen’s Louisiana Po-Boy Cafe,6676,Instagram: @queens_louisiana__poboy_cafe.,,,33 The Embarcadero San Francisco,33 The Embarcadero San Francisco,,94133,37.8068923,-122.4055655,,,Closed,,,,Black-owned Restaurant,,Queen’s Louisiana Po-Boy Cafe,,,,,,,,,,,,,,,,,,9/11/2020 11:25pm,Micah Trautwein,
Flavors & Smoke,Flavors & Smoke,6677,Instagram: @flavorsandsmoke2.,,,3276 Lakeshore Ave,3276 Lakeshore Ave,,94610,37.8104366,-122.2441193,https://flavorsandsmoke.com/,,Open,,,,Black-owned Restaurant,,Flavors & Smoke,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:30 AM," 3:00 pm, 4:30 -  10:00 pm",,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Hummingbird Bakery & Dessert Bar,Hummingbird Bakery & Dessert Bar,6678,,,,3272 Sonoma Blvd,3272 Sonoma Blvd,,94590,38.1177932,-122.2538289,https://www.hummingbirddesserts.com/,,Open,,,,Black-owned Restaurant,,Hummingbird Bakery & Dessert Bar,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,10:00 am - 7:00 pm; Sun: 10:00 am - 5:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Elve's BBQ and Soul Food,Elve's BBQ and Soul Food,6679,Instagram: @mobbkitchen.,,,3214 Martin Luther King Jr Way,3214 Martin Luther King Jr Way,,94609,37.8218404,-122.2701994,,,Open,,,,Black-owned Restaurant,,Elve's BBQ and Soul Food,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",11:00 AM, 6:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Lemat,Lemat,6680,Instagram: @lemat_ethiopian_restaurant.,,,3212 Adeline St,3212 Adeline St,,94703,37.8502938,-122.2712678,https://www.lemateats.com/,,Open,,,,Black-owned Restaurant,,Lemat,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",5:00 AM, 8:00 pm,,,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Mission Bowling Club,Mission Bowling Club,6681,Instagram: @missionbowlingclub.,,,3176 17th St San Francisco,3176 17th St San Francisco,,94110,37.763927,-122.416716,https://missionbowlingclub.com/,,Open,,,,Black-owned Restaurant,,Mission Bowling Club,"Wednesday, Thursday, Friday, Saturday",12:00 AM,,Wednesday,12:00 - 5:00 pm; Sat: 11:00 am - 5:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
2nd Half Bar & Lounge,2nd Half Bar & Lounge,6682,Instagram: @2ndhalfsportslounge.,,,316 14th St,316 14th St,,94612,37.8032761,-122.2679596,,,Open,,,,Black-owned Restaurant,,2nd Half Bar & Lounge,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM, 12:00 am,Friday,11:00 am - 2:00 am; Sun: 10:00 am - 12:00 am,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Halftime Sports Bar,Halftime Sports Bar,6683,Instagram: @halftimesportsbar.,,,316 14th St,316 14th St,,94612,37.8032761,-122.2679596,,,Open,,,,Black-owned Restaurant,,Halftime Sports Bar,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM, 12:00 am,Friday,11:00 am - 2:00 am; Sun: 10:00 am - 12:00 am,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Rasa Caffe,Rasa Caffe,6684,Instagram: @rasacaffe.,,,3140 Martin Luther King Jr Way,3140 Martin Luther King Jr Way,,94703,37.8510047,-122.2709361,https://www.rasacaffe.com/,,Open,,,,Black-owned Restaurant,,Rasa Caffe,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",7:30 AM, 4:30 pm,Wednesday,7:30 am - 2:30 pm; Sun: 8:00 am - 4:30 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Flavas Jamaican Grill,Flavas Jamaican Grill,6685,,,,314 Linden Ave,314 Linden Ave,,94080,37.6557185,-122.4097694,https://flavasjamaicangrillsf.com/,,Open,,,,Black-owned Restaurant,,Flavas Jamaican Grill,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",11:00 AM, 8:00 pm,Sat,12:00 - 8:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
Southern Express Soul Food,Southern Express Soul Food,6686,Instagram: @southern_express_.,,,3100 Contra Loma Blvd,3100 Contra Loma Blvd,,94509,37.990805,-121.823789,https://southern-express.business.site/,,Open,,,,Black-owned Restaurant,,Southern Express Soul Food,"Friday, Saturday, Sunday",12:00 AM,,Friday,1:00 - 6:00 pm,,,,,,,,,7/7/2020,,,,9/11/2020 11:25pm,Micah Trautwein,
